date,open,high,low,close,volume,dayOfweek,open_24,close_24
01/06/2015 07:00,124.069,124.227,124.004,124.163,8200,Monday,124.541,124.626
01/06/2015 08:00,124.164,124.172,123.979,124.095,7829,Monday,124.626,124.516
01/06/2015 09:00,124.098,124.118,124.011,124.04,6250,Monday,124.511,124.682
01/06/2015 10:00,124.04,124.122,124.011,124.055,4869,Monday,124.683,124.784
01/06/2015 11:00,124.055,124.16,124.04,124.112,5880,Monday,124.782,124.691
01/06/2015 12:00,124.11,124.126,123.859,123.964,9201,Monday,124.691,124.698
01/06/2015 13:00,123.964,124.071,123.894,123.999,7685,Monday,124.697,124.127
01/06/2015 14:00,124.015,124.532,124.015,124.527,11158,Monday,124.127,124.112
01/06/2015 15:00,124.529,124.678,124.479,124.653,7849,Monday,124.11,124.193
01/06/2015 16:00,124.652,124.917,124.643,124.873,6530,Monday,124.191,124.022
01/06/2015 17:00,124.87,124.889,124.75,124.871,4306,Monday,124.021,123.909
01/06/2015 18:00,124.873,124.908,124.785,124.836,3151,Monday,123.911,124.056
01/06/2015 19:00,124.837,124.855,124.782,124.825,2732,Monday,124.058,124.107
01/06/2015 20:00,124.826,124.831,124.762,124.762,1902,Monday,124.147,124.101
01/06/2015 21:00,124.762,124.815,124.745,124.758,2586,Monday,124.1,124.076
01/06/2015 22:00,124.758,124.821,124.756,124.81,2621,Monday,124.085,124.056
01/06/2015 23:00,124.81,124.916,124.804,124.866,3129,Monday,124.056,124.054
02/06/2015 00:00,124.865,124.874,124.769,124.817,4846,Tuesday,124.055,124.157
02/06/2015 01:00,124.817,124.868,124.784,124.855,3226,Tuesday,124.156,123.892
02/06/2015 02:00,124.854,125.053,124.698,124.782,6977,Tuesday,123.892,123.976
02/06/2015 03:00,124.782,124.816,124.608,124.739,4510,Tuesday,123.973,124.022
02/06/2015 04:00,124.739,124.783,124.59,124.635,4734,Tuesday,124.022,123.936
02/06/2015 05:00,124.634,124.702,124.532,124.636,5359,Tuesday,123.936,123.856
02/06/2015 06:00,124.634,124.706,124.494,124.54,8256,Tuesday,123.856,123.956
02/06/2015 07:00,124.541,124.627,124.424,124.626,8813,Tuesday,123.958,124.158
02/06/2015 08:00,124.626,124.627,124.473,124.516,8360,Tuesday,124.157,124.33
02/06/2015 09:00,124.511,124.768,124.499,124.682,7961,Tuesday,124.33,124.384
02/06/2015 10:00,124.683,124.828,124.656,124.784,8644,Tuesday,124.385,124.454
02/06/2015 11:00,124.782,124.813,124.686,124.691,8198,Tuesday,124.455,124.43
02/06/2015 12:00,124.691,124.776,124.468,124.698,9344,Tuesday,124.431,124.613
02/06/2015 13:00,124.697,124.699,124.014,124.127,14834,Tuesday,124.613,124.301
02/06/2015 14:00,124.127,124.196,123.753,124.112,11995,Tuesday,124.282,124.126
02/06/2015 15:00,124.11,124.258,124.053,124.193,8757,Tuesday,124.125,124.063
02/06/2015 16:00,124.191,124.208,123.948,124.022,6910,Tuesday,124.064,124.377
02/06/2015 17:00,124.021,124.033,123.884,123.909,4371,Tuesday,124.375,124.401
02/06/2015 18:00,123.911,124.078,123.876,124.056,3320,Tuesday,124.401,124.339
02/06/2015 19:00,124.058,124.141,124.033,124.107,3293,Tuesday,124.34,124.23
02/06/2015 20:00,124.147,124.169,124.066,124.101,2365,Tuesday,124.231,124.245
02/06/2015 21:00,124.1,124.131,124.04,124.076,972,Tuesday,124.24,124.268
02/06/2015 22:00,124.085,124.139,124.05,124.056,3178,Tuesday,124.272,124.296
02/06/2015 23:00,124.056,124.082,123.977,124.054,3062,Tuesday,124.295,124.305
03/06/2015 00:00,124.055,124.238,124.047,124.157,4813,Wednesday,124.307,124.342
03/06/2015 01:00,124.156,124.159,123.868,123.892,5661,Wednesday,124.342,124.548
